"spend_id";"spend_date";"channel";"spend_amount";"impressions";"clicks";"conversions"
106;"2023-01-22";"email";56.5;0;0;12
107;"2023-01-22";"paid_search";231.14;82217;2717;124
108;"2023-01-22";"social_media";174.9;92550;3383;47
109;"2023-01-22";"display_ads";88.42;43821;1497;97
110;"2023-01-22";"affiliate";74.83;60015;1271;170
111;"2023-01-23";"email";54.26;0;0;9
112;"2023-01-23";"paid_search";147.1;39050;4926;198
113;"2023-01-23";"social_media";136.58;18554;985;59
114;"2023-01-23";"display_ads";129.75;39436;1610;162
115;"2023-01-23";"affiliate";76.04;78597;130;94
116;"2023-01-24";"email";47.64;0;0;119
117;"2023-01-24";"paid_search";239.6;91622;732;55
118;"2023-01-24";"social_media";120.92;77792;253;81
119;"2023-01-24";"display_ads";104.51;79719;4257;121
120;"2023-01-24";"affiliate";96.57;65052;1289;6
121;"2023-01-25";"email";41.45;0;0;29
122;"2023-01-25";"paid_search";229.21;48820;503;34
123;"2023-01-25";"social_media";193.79;71740;2406;12
124;"2023-01-25";"display_ads";107.09;70337;3851;108
125;"2023-01-25";"affiliate";80.38;85224;2089;29
126;"2023-01-26";"email";35.52;0;0;107
127;"2023-01-26";"paid_search";241.77;59771;1778;102
128;"2023-01-26";"social_media";168.68;35642;2240;28
129;"2023-01-26";"display_ads";76.32;68898;1935;131
130;"2023-01-26";"affiliate";89.84;71053;2053;153
131;"2023-01-27";"email";62.18;0;0;198
132;"2023-01-27";"paid_search";220.58;19841;696;181
133;"2023-01-27";"social_media";153.44;96980;2089;26
134;"2023-01-27";"display_ads";123.63;15371;1540;135
135;"2023-01-27";"affiliate";84.66;52815;3667;146
136;"2023-01-28";"email";37.24;0;0;53
137;"2023-01-28";"paid_search";220.95;35250;2349;55
138;"2023-01-28";"social_media";116.35;19310;1289;146
139;"2023-01-28";"display_ads";100.94;96954;4326;178
140;"2023-01-28";"affiliate";81.3;53508;4142;102
141;"2023-01-29";"email";43.78;0;0;67
142;"2023-01-29";"paid_search";0.0;24473;769;102
143;"2023-01-29";"social_media";151.93;86185;4561;61
144;"2023-01-29";"display_ads";81.21;13227;1595;98
145;"2023-01-29";"affiliate";75.6;78893;2760;190
146;"2023-01-30";"email";51.75;0;0;161
147;"2023-01-30";"paid_search";221.62;85244;207;15
148;"2023-01-30";"social_media";151.56;42457;1365;126
149;"2023-01-30";"display_ads";119.2;13813;3651;197
150;"2023-01-30";"affiliate";63.12;73046;2895;172
151;"2023-01-31";"email";58.33;0;0;137
152;"2023-01-31";"paid_search";241.05;19333;2033;21
153;"2023-01-31";"social_media";190.06;19903;3621;178
154;"2023-01-31";"display_ads";122.45;35120;2774;22
155;"2023-01-31";"affiliate";78.62;66657;4841;126
156;"2023-02-01";"email";0.0;0;0;102
157;"2023-02-01";"paid_search";205.68;38459;1873;38
158;"2023-02-01";"affiliate";95.78;90262;277;54
159;"2023-02-02";"email";49.12;0;0;171
160;"2023-02-02";"paid_search";159.85;64513;4171;170
161;"2023-02-02";"social_media";176.17;74314;4055;170
162;"2023-02-02";"display_ads";111.78;22676;4226;134
163;"2023-02-02";"affiliate";94.71;12100;3532;129
164;"2023-02-03";"email";36.33;0;0;86
165;"2023-02-03";"paid_search";192.41;51447;842;86
166;"2023-02-03";"social_media";183.0;17854;4881;93
167;"2023-02-03";"display_ads";156.37;130839;3995;217
168;"2023-03-02";"affiliate";115.27;118519;1137;199
169;"2023-02-04";"email";113.57;0;0;237
170;"2023-02-04";"paid_search";197.53;55828;3094;49
171;"2023-02-04";"social_media";129.17;69552;2286;99
172;"2023-02-04";"display_ads";104.67;78075;2721;15
173;"2023-02-04";"affiliate";59.29;26296;3057;68
174;"2023-02-05";"email";63.91;0;0;27
175;"2023-02-05";"paid_search";360.79;90709;796;211
176;"2023-02-05";"social_media";294.55;123497;5131;229
177;"2023-02-05";"display_ads";96.61;13768;3183;174
178;"2023-02-05";"affiliate";79.85;58669;4578;76
179;"2023-02-06";"email";55.05;0;0;16
180;"2023-02-06";"paid_search";251.61;58168;631;121
181;"2023-02-06";"social_media";180.0;97197;2401;70
182;"2023-02-06";"display_ads";94.29;21051;766;184
183;"2023-02-06";"affiliate";81.58;38632;4681;31
184;"2023-02-07";"email";38.61;0;0;18
185;"2023-02-07";"paid_search";184.86;18061;1413;107
186;"2023-02-07";"social_media";146.56;84651;3961;169
187;"2023-02-07";"display_ads";70.48;19607;1414;19
188;"2023-02-07";"affiliate";63.79;71354;4105;39
189;"2023-02-08";"email";42.77;0;0;51
190;"2023-08-02";"paid_search";498.66;106030;7956;101
191;"2023-08-02";"social_media";285.72;119063;5262;203
192;"2023-02-08";"display_ads";223.13;109310;6005;77
193;"2023-02-08";"affiliate";62.46;90343;4723;171
194;"2023-02-09";"email";45.68;0;0;148
195;"2023-02-09";"paid_search";214.04;42157;1078;62
196;"2023-02-09";"social_media";127.44;97443;3185;85
197;"2023-02-09";"display_ads";97.0;56262;1986;11
198;"2023-02-09";"affiliate";133.7;95353;2522;182
199;"2023-02-10";"email";134.35;0;0;278
200;"2023-02-10";"paid_search";146.18;28816;3006;6
201;"2023-02-10";"social_media";353.71;128522;4757;231
202;"2023-02-10";"display_ads";111.93;64083;939;162
203;"2023-02-10";"affiliate";61.43;94890;879;182
204;"2023-02-11";"email";37.05;0;0;131
205;"2023-02-11";"paid_search";500.64;116734;9758;151
206;"2023-02-11";"social_media";159.77;96810;2555;77
207;"2023-02-11";"display_ads";272.19;94685;4311;219
208;"2023-02-11";"affiliate";91.21;95842;4395;193
209;"2023-02-12";"email";98.69;0;0;239
210;"2023-02-12";"paid_search";196.84;98941;3174;142
211;"2023-02-12";"social_media";120.66;32529;2248;153
212;"2023-02-12";"display_ads";129.76;50983;3871;73
213;"2023-12-02";"affiliate";0.0;83481;1333;74
214;"2023-02-13";"email";41.19;0;0;51
215;"2023-02-13";"paid_search";161.81;37345;4519;64
216;"2023-02-13";"social_media";193.61;77297;421;121
217;"2023-02-13";"display_ads";81.55;79219;690;156
218;"2023-02-13";"affiliate";73.45;61116;3493;86
219;"2023-02-14";"email";40.26;0;0;124
220;"2023-02-14";"paid_search";159.08;67996;3845;25
221;"2023-02-14";"social_media";131.43;80985;286;183
222;"2023-02-14";"display_ads";100.61;60134;1726;20
223;"2023-02-14";"affiliate";92.62;19522;891;140
224;"2023-02-15";"email";62.87;0;0;72
225;"2023-02-15";"paid_search";179.61;17389;4194;116
226;"2023-02-15";"social_media";125.8;74172;498;177
227;"2023-02-15";"display_ads";87.27;43473;1056;192
228;"2023-02-15";"affiliate";76.27;47635;1097;83
229;"2023-02-16";"email";57.77;0;0;183
230;"2023-02-16";"paid_search";225.74;24604;4987;33
231;"2023-02-16";"social_media";193.69;46312;4134;191
232;"2023-02-16";"display_ads";129.3;22149;1615;167
233;"2023-02-16";"affiliate";88.59;34462;592;17
234;"2023-02-17";"email";36.03;0;0;62
235;"2023-02-17";"paid_search";154.89;56397;3123;15
236;"2023-02-17";"social_media";153.96;71065;1088;47
237;"2023-02-17";"display_ads";126.51;15765;3258;144
238;"2023-02-17";"affiliate";54.52;10755;256;40
239;"2023-02-18";"email";54.64;0;0;6
240;"2023-02-18";"paid_search";211.36;74663;2693;193
241;"2023-02-18";"social_media";127.07;54517;1173;183
242;"2023-02-18";"display_ads";75.39;79522;933;29
243;"2023-02-18";"affiliate";89.07;45773;3507;183
244;"2023-02-19";"email";51.38;0;0;180
245;"2023-02-19";"paid_search";250.65;19469;4140;169
246;"2023-02-19";"social_media";162.73;10777;4506;160
247;"2023-02-19";"display_ads";121.4;69460;3749;153
248;"2023-02-19";"affiliate";52.59;19900;3562;138
249;"2023-02-20";"email";51.49;0;0;148
250;"2023-02-20";"paid_search";165.06;77800;1470;174
251;"2023-02-20";"social_media";188.95;26808;2235;130
252;"2023-02-20";"display_ads";70.51;77221;1499;31
253;"2023-02-20";"affiliate";91.55;11076;289;47
254;"2023-02-21";"email";58.91;0;0;38
255;"2023-02-21";"paid_search";229.59;45790;3563;6
256;"2023-02-21";"social_media";132.96;26639;1359;129
257;"2023-02-21";"display_ads";104.34;14401;2813;145
258;"2023-02-21";"affiliate";0.0;30499;4587;139
259;"2023-02-22";"email";42.28;0;0;52
260;"2023-02-22";"paid_search";144.83;41196;3321;87
261;"2023-02-22";"social_media";126.53;46068;4344;128
262;"2023-02-22";"display_ads";111.97;52758;895;155
263;"2023-02-22";"affiliate";60.08;61433;4146;157
264;"2023-02-23";"email";51.7;0;0;21
265;"2023-02-23";"paid_search";246.14;77717;2733;139
266;"2023-02-23";"social_media";122.34;58734;3867;65
267;"2023-02-23";"display_ads";106.31;63631;3308;30
268;"2023-02-23";"affiliate";74.01;38721;2913;41
269;"2023-02-24";"email";49.19;0;0;86
270;"2023-02-24";"paid_search";143.63;41965;521;13
271;"2023-02-24";"social_media";106.28;34030;4071;144
272;"2023-02-24";"display_ads";90.49;59341;1039;69
273;"2023-02-24";"affiliate";96.98;83410;4458;91
274;"2023-02-25";"email";0.0;0;0;66
275;"2023-02-25";"paid_search";177.52;42559;334;135
276;"2023-02-25";"social_media";130.63;32826;507;98
277;"2023-02-25";"display_ads";86.46;21016;1627;68
278;"2023-02-25";"affiliate";85.05;94237;2907;56
279;"2023-02-26";"email";41.34;0;0;145
280;"2023-02-26";"paid_search";207.83;85514;4601;96
281;"2023-02-26";"social_media";117.82;41098;675;80
282;"2023-02-26";"display_ads";95.12;19031;2453;182
283;"2023-02-26";"affiliate";61.35;43988;1511;100
284;"2023-02-27";"email";43.24;0;0;182
285;"2023-02-27";"paid_search";161.42;72847;4396;74
286;"2023-02-27";"social_media";126.89;68074;3502;144
287;"2023-02-27";"display_ads";118.19;16922;667;190
288;"2023-02-27";"affiliate";68.99;97119;4011;123
289;"2023-02-28";"email";63.42;0;0;116
290;"2023-02-28";"paid_search";177.94;48273;601;64
291;"2023-02-28";"social_media";147.87;52280;3901;34
292;"2023-02-28";"display_ads";112.06;42159;1199;50
293;"2023-02-28";"affiliate";89.25;86615;1223;107
294;"2023-03-01";"social_media";148.24;20643;3440;90
295;"2023-03-01";"affiliate";68.23;17044;603;52
296;"2023-03-02";"email";47.38;0;0;185
297;"2023-03-02";"paid_search";250.15;93590;1951;189
298;"2023-03-02";"social_media";172.02;41392;2253;5
299;"2023-03-03";"email";60.64;0;0;186
300;"2023-03-03";"paid_search";213.96;28242;4190;149
301;"2023-03-03";"social_media";114.08;84893;4173;84
302;"2023-03-03";"display_ads";124.55;53434;4498;169
303;"2023-03-03";"affiliate";90.62;71566;833;81
304;"2023-03-04";"email";46.94;0;0;174
305;"2023-03-04";"paid_search";326.44;170727;4633;289
306;"2023-03-04";"social_media";165.25;68777;3543;63
307;"2023-04-03";"display_ads";210.02;170404;6344;328
308;"2023-04-03";"affiliate";173.36;131409;6525;101
309;"2023-03-05";"email";89.27;0;0;199
310;"2023-03-05";"paid_search";247.63;53546;3854;33
311;"2023-03-05";"social_media";166.68;98578;2187;195
312;"2023-03-05";"display_ads";119.65;83986;4734;146
313;"2023-03-05";"affiliate";87.76;14103;330;106
314;"2023-03-06";"email";50.26;0;0;130
315;"2023-03-06";"paid_search";237.83;29607;387;153
316;"2023-03-06";"social_media";126.26;16004;394;85
317;"2023-03-06";"display_ads";109.07;11170;1963;198
318;"2023-03-06";"affiliate";93.49;96203;2208;121
319;"2023-03-07";"email";59.86;0;0;63
320;"2023-03-07";"paid_search";147.5;69673;1149;144
321;"2023-03-07";"social_media";121.31;31505;3620;170
322;"2023-03-07";"display_ads";106.33;25055;1454;107
323;"2023-03-07";"affiliate";123.66;101572;5531;213
324;"2023-08-03";"email";61.6;0;0;75
325;"2023-03-08";"paid_search";228.69;98103;2373;200
326;"2023-08-03";"social_media";299.73;93506;5714;128
327;"2023-03-08";"display_ads";73.76;62340;870;70
328;"2023-03-08";"affiliate";62.48;89414;706;18
329;"2023-03-09";"email";60.15;0;0;96
330;"2023-03-09";"paid_search";228.44;53249;191;43
331;"2023-03-09";"social_media";322.77;122715;3533;291
332;"2023-03-09";"display_ads";0.0;95224;929;89
333;"2023-03-09";"affiliate";67.7;88801;1448;57
334;"2023-03-10";"email";39.0;0;0;79
335;"2023-03-10";"paid_search";463.24;96936;5149;205
336;"2023-10-03";"social_media";373.2;73458;4718;203
337;"2023-03-10";"display_ads";113.06;38243;4697;169
338;"2023-03-10";"affiliate";60.74;79213;3179;160
339;"2023-03-11";"email";53.56;0;0;151
340;"2023-03-11";"paid_search";189.21;48092;1774;55
341;"2023-03-11";"social_media";154.03;14178;4716;87
342;"2023-03-11";"display_ads";105.34;92304;140;60
343;"2023-11-03";"affiliate";101.65;160313;3445;188
344;"2023-12-03";"email";125.21;0;0;240
345;"2023-03-12";"paid_search";241.43;54850;2594;156
346;"2023-12-03";"social_media";392.52;147675;6178;256
347;"2023-03-12";"display_ads";99.25;52814;4811;79
348;"2023-12-03";"affiliate";177.37;41694;3005;233
349;"2023-03-13";"email";42.6;0;0;183
350;"2023-03-13";"paid_search";252.07;55680;2372;160
351;"2023-03-13";"social_media";124.1;49162;4949;127
352;"2023-03-13";"display_ads";109.6;27766;2472;188
353;"2023-03-13";"affiliate";91.13;76948;4812;111
354;"2023-03-14";"email";60.5;0;0;160
355;"2023-03-14";"paid_search";0.0;62265;3867;104
356;"2023-03-14";"social_media";144.41;37527;2719;48
357;"2023-03-14";"display_ads";86.88;44688;2823;68
358;"2023-03-14";"affiliate";88.49;80758;3593;69
359;"2023-03-15";"email";51.01;0;0;168
360;"2023-03-15";"paid_search";244.38;57154;2288;200
361;"2023-03-15";"social_media";115.47;40925;3982;90
362;"2023-03-15";"display_ads";97.69;32954;789;26
363;"2023-03-15";"affiliate";91.66;68708;208;40
364;"2023-03-16";"email";39.3;0;0;90
365;"2023-03-16";"paid_search";189.01;80143;3873;153
366;"2023-03-16";"social_media";181.2;23978;2042;193
367;"2023-03-16";"display_ads";102.5;48838;3183;74
368;"2023-03-16";"affiliate";67.98;36554;1354;29
369;"2023-03-17";"email";52.27;0;0;45
370;"2023-03-17";"paid_search";259.07;25922;2356;80
371;"2023-03-17";"social_media";157.35;78581;1757;158
372;"2023-03-17";"display_ads";75.98;63645;1808;199
373;"2023-03-17";"affiliate";72.09;10984;2531;169
374;"2023-03-18";"email";48.87;0;0;169
375;"2023-03-18";"paid_search";186.15;94196;3822;42
376;"2023-03-18";"social_media";129.61;60355;3722;105
377;"2023-03-18";"display_ads";89.0;58584;2432;130
378;"2023-03-18";"affiliate";54.34;36036;4868;17
379;"2023-03-19";"email";0.0;0;0;188
380;"2023-03-19";"paid_search";220.01;48418;1772;37
381;"2023-03-19";"social_media";114.71;59988;790;40
382;"2023-03-19";"display_ads";88.06;52294;3545;182
383;"2023-03-19";"affiliate";87.62;50394;1056;31
384;"2023-03-20";"email";58.75;0;0;58
385;"2023-03-20";"paid_search";160.96;21440;989;123
386;"2023-03-20";"social_media";123.84;58219;3240;26
387;"2023-03-20";"display_ads";74.57;62502;1466;135
388;"2023-03-20";"affiliate";58.12;61314;1140;88
389;"2023-03-21";"email";52.47;0;0;142
390;"2023-03-21";"paid_search";240.6;52142;1886;165
391;"2023-03-21";"social_media";126.75;49844;4527;103
392;"2023-03-21";"display_ads";0.0;75736;163;111
393;"2023-03-21";"affiliate";66.62;72419;657;92
394;"2023-03-22";"email";46.4;0;0;46
395;"2023-03-22";"paid_search";217.28;94805;624;136
396;"2023-03-22";"social_media";132.12;73863;2890;140
397;"2023-03-22";"display_ads";94.24;81745;1572;84
398;"2023-03-22";"affiliate";56.77;42648;1514;177
399;"2023-03-23";"email";63.29;0;0;102
400;"2023-03-23";"paid_search";238.49;10029;3869;62
401;"2023-03-23";"social_media";187.48;51851;2782;99
402;"2023-03-23";"display_ads";125.85;75246;1100;26
403;"2023-03-23";"affiliate";94.94;48820;2877;154
404;"2023-03-24";"email";56.62;0;0;82
405;"2023-03-24";"paid_search";235.5;74193;4453;123
406;"2023-03-24";"social_media";188.07;63674;1002;128
407;"2023-03-24";"display_ads";101.27;33632;297;121
408;"2023-03-24";"affiliate";63.71;89105;1438;68
409;"2023-03-25";"email";37.16;0;0;172
410;"2023-03-25";"paid_search";193.49;26613;259;99
411;"2023-03-25";"social_media";169.81;84781;475;61
412;"2023-03-25";"display_ads";87.08;25120;1337;178
413;"2023-03-25";"affiliate";72.63;92727;2675;94
414;"2023-03-26";"email";63.24;0;0;163
415;"2023-03-26";"paid_search";253.73;42827;4847;156
416;"2023-03-26";"social_media";189.48;68593;3055;15
417;"2023-03-26";"display_ads";108.68;31937;3130;174
418;"2023-03-26";"affiliate";56.6;88705;1561;184
419;"2023-03-27";"email";36.7;0;0;195
420;"2023-03-27";"paid_search";238.41;38518;4478;178
421;"2023-03-27";"social_media";179.83;19890;3587;48
422;"2023-03-27";"display_ads";71.92;82100;1565;110
423;"2023-03-27";"affiliate";53.33;25159;2567;188
424;"2023-03-28";"email";63.34;0;0;97
425;"2023-03-28";"paid_search";187.7;17887;3100;167
426;"2023-03-28";"social_media";133.39;31050;3087;108
427;"2023-03-28";"display_ads";128.38;34352;3716;130
428;"2023-03-28";"affiliate";87.87;31492;567;86
429;"2023-03-29";"email";50.55;0;0;191
430;"2023-03-29";"paid_search";161.19;40416;4649;14
431;"2023-03-29";"social_media";122.17;30154;4635;99
432;"2023-03-29";"display_ads";71.45;41317;4212;154
433;"2023-03-29";"affiliate";0.0;59613;2857;20
434;"2023-03-30";"email";55.96;0;0;192
435;"2023-03-30";"paid_search";221.69;83648;288;149
436;"2023-03-30";"social_media";132.33;74923;3072;126
437;"2023-03-30";"display_ads";114.78;34988;3862;46
438;"2023-03-30";"affiliate";72.14;47892;2565;53
439;"2023-03-31";"email";53.96;0;0;182
440;"2023-03-31";"paid_search";203.18;13208;2712;9
441;"2023-03-31";"social_media";127.2;75875;4095;183
442;"2023-03-31";"display_ads";112.63;55093;1722;157
443;"2023-03-31";"affiliate";57.03;12356;4141;109
444;"2023-04-01";"email";43.92;0;0;15
445;"2023-04-01";"paid_search";187.12;12898;3220;35
446;"2023-01-04";"affiliate";81.9;53722;805;94
447;"2023-04-02";"paid_search";141.44;25149;2350;189
448;"2023-04-02";"social_media";123.54;42984;738;162
449;"2023-04-02";"display_ads";70.52;82877;3763;91
450;"2023-04-02";"affiliate";73.89;88475;4499;97
451;"2023-04-03";"email";45.64;0;0;59
452;"2023-04-03";"social_media";175.81;88502;644;135
453;"2023-04-04";"email";57.55;0;0;24
454;"2023-04-04";"paid_search";220.82;52631;1065;28
455;"2023-04-04";"social_media";166.93;87228;2734;162
456;"2023-04-04";"display_ads";107.18;68586;3415;172
457;"2023-04-04";"affiliate";96.82;77984;731;7
458;"2023-05-04";"email";96.57;0;0;317
459;"2023-05-04";"paid_search";387.6;86677;2504;101
460;"2023-05-04";"social_media";240.45;114447;3015;167
461;"2023-04-05";"display_ads";112.39;18234;1994;22
462;"2023-04-05";"affiliate";94.09;18968;3070;58
463;"2023-04-06";"email";42.85;0;0;21
464;"2023-06-04";"paid_search";338.25;162982;4377;249
465;"2023-04-06";"social_media";185.07;42019;3490;119
466;"2023-04-06";"display_ads";83.66;52851;2180;74
467;"2023-04-06";"affiliate";54.48;90212;2193;23
468;"2023-04-07";"email";58.78;0;0;73
469;"2023-04-07";"paid_search";208.57;85905;4614;97
470;"2023-04-07";"social_media";165.98;77294;2774;21
471;"2023-07-04";"display_ads";192.53;122739;3260;210
472;"2023-04-07";"affiliate";86.99;51364;2361;110
473;"2023-04-08";"email";44.53;0;0;182
474;"2023-04-08";"paid_search";210.91;60779;1721;56
475;"2023-08-04";"social_media";316.96;71111;5818;259
476;"2023-04-08";"display_ads";0.0;52979;3032;17
477;"2023-04-08";"affiliate";68.35;43498;2838;229
478;"2023-04-09";"email";40.98;0;0;75
479;"2023-04-09";"paid_search";254.38;25806;3313;66
480;"2023-04-09";"social_media";292.58;120322;7506;100
481;"2023-04-09";"display_ads";110.81;85711;1333;37
482;"2023-09-04";"affiliate";75.35;47855;4107;89
483;"2023-04-10";"email";105.11;0;0;226
484;"2023-04-10";"paid_search";170.0;58595;2587;197
485;"2023-04-10";"social_media";172.27;93071;3232;166
486;"2023-10-04";"display_ads";116.63;28216;3481;183
487;"2023-04-10";"affiliate";141.29;58930;4747;99
488;"2023-04-11";"email";157.65;0;0;71
489;"2023-11-04";"paid_search";447.17;78301;8129;323
490;"2023-04-11";"social_media";145.3;74362;2439;173
491;"2023-04-11";"display_ads";127.87;58855;2913;33
492;"2023-04-11";"affiliate";92.34;64947;4186;181
493;"2023-12-04";"email";118.52;0;0;252
494;"2023-12-04";"paid_search";423.04;41297;4088;58
495;"2023-12-04";"social_media";178.61;43760;1959;157
496;"2023-04-12";"display_ads";118.3;91872;1338;168
497;"2023-04-12";"affiliate";75.68;14376;2038;149
498;"2023-04-13";"email";59.91;0;0;90
499;"2023-04-13";"paid_search";224.89;44236;4576;35
500;"2023-04-13";"social_media";120.27;97243;396;57
501;"2023-04-13";"display_ads";96.34;23032;2101;179
502;"2023-04-13";"affiliate";96.11;52307;3807;84
503;"2023-04-14";"email";40.78;0;0;24
504;"2023-04-14";"paid_search";233.18;74553;1721;49
505;"2023-04-14";"social_media";105.67;96069;835;134
506;"2023-04-14";"display_ads";93.4;88094;4500;28
507;"2023-04-14";"affiliate";57.06;87079;4422;124
508;"2023-04-15";"email";56.35;0;0;101
509;"2023-04-15";"paid_search";182.65;38221;273;109
510;"2023-04-15";"social_media";166.89;46846;215;198
511;"2023-04-15";"display_ads";87.26;41419;267;168
512;"2023-04-15";"affiliate";61.84;73449;2153;82
513;"2023-04-16";"email";63.66;0;0;136
514;"2023-04-16";"paid_search";194.98;55783;3638;138
515;"2023-04-16";"social_media";127.19;52504;1704;47
516;"2023-04-16";"display_ads";94.52;43708;1678;88
517;"2023-04-16";"affiliate";65.62;83847;219;85
518;"2023-04-17";"email";46.71;0;0;189
519;"2023-04-17";"paid_search";0.0;74619;477;148
520;"2023-04-17";"social_media";181.75;31137;2667;156
521;"2023-04-17";"display_ads";95.91;88063;2872;139
522;"2023-04-17";"affiliate";86.18;76892;1799;104
