date,channel,spend_amount,impressions,clicks,conversions,currency
01/21/2023,paid_search,205.49,88089.0,2060.0,119,
2023-01-21,social_media,155.04,63085.0,486.0,112,usd
21-01-2023,display_ads,128.63,56175.0,3081.0,153,$
2023/01/21,affiliate,85.81,71501.0,3319.0,91,usd
01/22/2023,email,56.5,,,12,USD
01-22-2023,paid_search,231.14,82217.0,2717.0,124,usd
2023/01/22,social_media,174.9,92550.0,3383.0,47,USD
2023/01/22,display_ads,88.42,43821.0,1497.0,97,
01/22/2023,affiliate,74.83,60015.0,1271.0,170,
01-23-2023,email,54.26,,,9,$
01/23/2023,paid_search,147.1,39050.0,4926.0,198,USD
2023-01-23,social_media,136.58,18554.0,985.0,59,usd
01/23/2023,display_ads,129.75,39436.0,1610.0,162,USD
2023/01/23,affiliate,76.04,78597.0,130.0,94,USD
01-24-2023,email,47.64,,,119,$
24-01-2023,paid_search,239.6,91622.0,732.0,55,usd
01-24-2023,social_media,120.92,77792.0,253.0,81,$
01/24/2023,display_ads,104.51,79719.0,4257.0,121,USD
2023-01-24,affiliate,96.57,65052.0,1289.0,6,
2023/01/25,email,41.45,,,29,
01/25/2023,paid_search,229.21,48820.0,503.0,34,USD
2023-01-25,social_media,193.79,71740.0,2406.0,12,
01-25-2023,display_ads,107.09,70337.0,3851.0,108,
01/25/2023,affiliate,80.38,85224.0,2089.0,29,USD
2023-01-26,email,35.52,,,107,USD
2023/01/26,paid_search,241.77,59771.0,1778.0,102,
01-26-2023,social_media,168.68,35642.0,2240.0,28,USD
01-26-2023,display_ads,76.32,68898.0,1935.0,131,USD
2023/01/26,affiliate,89.84,71053.0,2053.0,153,USD
2023-01-27,email,62.18,,,198,$
2023-01-27,paid_search,220.58,19841.0,696.0,181,$
27-01-2023,social_media,153.44,96980.0,2089.0,26,
2023/01/27,display_ads,123.63,15371.0,1540.0,135,USD
2023-01-27,affiliate,84.66,52815.0,3667.0,146,$
28-01-2023,email,37.24,,,53,USD
28-01-2023,paid_search,220.95,35250.0,2349.0,55,USD
01-28-2023,social_media,116.35,19310.0,1289.0,146,$
2023/01/28,display_ads,100.94,96954.0,4326.0,178,$
01-28-2023,affiliate,81.3,53508.0,4142.0,102,usd
01/29/2023,email,43.78,,,67,
29-01-2023,paid_search,,24473.0,769.0,102,$
01/29/2023,social_media,151.93,86185.0,4561.0,61,USD
29-01-2023,display_ads,81.21,13227.0,1595.0,98,
2023/01/29,affiliate,75.6,78893.0,2760.0,190,usd
01/30/2023,email,51.75,,,161,USD
01-30-2023,paid_search,221.62,85244.0,207.0,15,$
30-01-2023,social_media,151.56,42457.0,1365.0,126,$
01/30/2023,display_ads,119.2,13813.0,3651.0,197,$
01-30-2023,affiliate,63.12,73046.0,2895.0,172,USD
2023-01-31,email,58.33,,,137,
01/31/2023,paid_search,241.05,19333.0,2033.0,21,usd
31-01-2023,social_media,190.06,19903.0,3621.0,178,$
2023/01/31,display_ads,122.45,35120.0,2774.0,22,USD
2023-01-31,affiliate,78.62,66657.0,4841.0,126,
2023-02-01,email,,,,102,usd
2023-02-01,paid_search,205.68,38459.0,1873.0,38,
01-02-2023,social_media,144.24,40377.0,2689.0,42,$
2023-02-01,display_ads,94.11,15588.0,488.0,107,usd
02/01/2023,affiliate,95.78,90262.0,277.0,54,USD
02-02-2023,email,49.12,,,171,USD
02-02-2023,paid_search,159.85,64513.0,4171.0,170,USD
2023/02/02,social_media,176.17,74314.0,4055.0,170,usd
2023-02-02,DISPLAY_ADS,111.78,22676.0,4226.0,134,usd
2023/02/02,affiliate,94.71,12100.0,3532.0,129,$
02-03-2023,EMAIL,36.33,,,86,
02/03/2023,paid_search,192.41,51447.0,842.0,86,USD
2023/02/03,social_media,183.0,17854.0,4881.0,93,$
2023-02-03,display_ads,73.85,34535.0,830.0,48,usd
03-02-2023,affiliate,53.16,91396.0,799.0,142,USD
2023/02/04,email,63.6,,,131,usd
02-04-2023,paid_search,197.53,55828.0,3094.0,49,USD
2023-02-04,social_media,129.17,69552.0,2286.0,99,$
02/04/2023,DISPLAY_ADS,104.67,78075.0,2721.0,15,usd
02/04/2023,affiliate,59.29,26296.0,3057.0,68,USD
02-05-2023,email,63.91,,,27,
02-05-2023,paid_search,216.66,41553.0,211.0,137,
2023-02-05,social_media,106.2,52738.0,4466.0,107,
2023-02-05,display_ads,96.61,13768.0,3183.0,174,usd
2023-02-05,AFFILIATE,79.85,58669.0,4578.0,76,usd
02-06-2023,email,55.05,,,16,$
02-06-2023,paid_search,251.61,58168.0,631.0,121,USD
2023-02-06,social_media,180.0,97197.0,2401.0,70,usd
2023-02-06,display_ads,94.29,21051.0,766.0,184,usd
2023/02/06,affiliate,81.58,38632.0,4681.0,31,
02-07-2023,email,38.61,,,18,USD
02/07/2023,paid_search,184.86,18061.0,1413.0,107,$
2023-02-07,social_media,146.56,84651.0,3961.0,169,$
02-07-2023,display_ads,70.48,19607.0,1414.0,19,usd
2023/02/07,affiliate,63.79,71354.0,4105.0,39,usd
2023/02/08,email,42.77,,,51,usd
08-02-2023,paid_search,248.86,69441.0,3155.0,14,USD
08-02-2023,SOCIAL_MEDIA,159.55,70816.0,2608.0,20,USD
2023/02/08,display_ads,121.25,18786.0,2557.0,58,USD
02-08-2023,affiliate,62.46,90343.0,4723.0,171,usd
02/09/2023,email,45.68,,,148,$
02-09-2023,paid_search,214.04,42157.0,1078.0,62,usd
2023-02-09,social_media,127.44,97443.0,3185.0,85,$
2023-02-09,display_ads,97.0,56262.0,1986.0,11,USD
02/09/2023,affiliate,80.64,55908.0,2304.0,99,USD
02-10-2023,email,39.55,,,104,usd
02-10-2023,paid_search,146.18,28816.0,3006.0,6,usd
2023/02/10,social_media,135.89,55510.0,1549.0,160,USD
2023/02/10,display_ads,111.93,64083.0,939.0,162,USD
02/10/2023,affiliate,61.43,94890.0,879.0,182,$
02-11-2023,email,37.05,,,131,usd
2023-02-11,paid_search,185.15,36889.0,5000.0,45,usd
2023/02/11,social_media,159.77,96810.0,2555.0,77,usd
2023/02/11,display_ads,122.45,42085.0,1481.0,44,usd
2023-02-11,affiliate,91.21,95842.0,4395.0,193,USD
2023-02-12,email,45.6,,,197,$
02/12/2023,paid_search,196.84,98941.0,3174.0,142,USD
02-12-2023,social_media,120.66,32529.0,2248.0,153,USD
02/12/2023,display_ads,129.76,50983.0,3871.0,73,$
12-02-2023,affiliate,,83481.0,1333.0,74,usd
2023-02-13,email,41.19,,,51,usd
13-02-2023,PAID_SEARCH,161.81,37345.0,4519.0,64,usd
2023-02-13,social_media,193.61,77297.0,421.0,121,usd
2023-02-13,display_ads,81.55,79219.0,690.0,156,USD
2023/02/13,affiliate,73.45,61116.0,3493.0,86,usd
14-02-2023,email,40.26,,,124,$
2023-02-14,paid_search,159.08,67996.0,3845.0,25,$
2023-02-14,social_media,131.43,80985.0,286.0,183,
02-14-2023,display_ads,100.61,60134.0,1726.0,20,$
14-02-2023,affiliate,92.62,19522.0,891.0,140,usd
2023-02-15,email,62.87,,,72,
02-15-2023,paid_search,179.61,17389.0,4194.0,116,usd
15-02-2023,social_media,125.8,74172.0,498.0,177,usd
15-02-2023,display_ads,87.27,43473.0,1056.0,192,USD
2023-02-15,affiliate,76.27,47635.0,1097.0,83,$
2023/02/16,email,57.77,,,183,USD
2023-02-16,paid_search,225.74,24604.0,4987.0,33,
2023/02/16,social_media,193.69,46312.0,4134.0,191,
16-02-2023,display_ads,129.3,22149.0,1615.0,167,usd
02-16-2023,affiliate,88.59,34462.0,592.0,17,
02-17-2023,email,36.03,,,62,
02-17-2023,paid_search,154.89,56397.0,3123.0,15,USD
17-02-2023,social_media,153.96,71065.0,1088.0,47,
2023-02-17,display_ads,126.51,15765.0,3258.0,144,
2023-02-17,affiliate,54.52,10755.0,256.0,40,USD
02/18/2023,email,54.64,,,6,
18-02-2023,paid_search,211.36,74663.0,2693.0,193,USD
2023/02/18,social_media,127.07,54517.0,1173.0,183,usd
02-18-2023,display_ads,75.39,79522.0,933.0,29,$
18-02-2023,AFFILIATE,89.07,45773.0,3507.0,183,$
2023/02/19,email,51.38,,,180,USD
02-19-2023,paid_search,250.65,19469.0,4140.0,169,
2023-02-19,social_media,162.73,10777.0,4506.0,160,usd
19-02-2023,display_ads,121.4,69460.0,3749.0,153,usd
2023-02-19,affiliate,52.59,19900.0,3562.0,138,
02/20/2023,email,51.49,,,148,
02-20-2023,paid_search,165.06,77800.0,1470.0,174,usd
20-02-2023,social_media,188.95,26808.0,2235.0,130,$
20-02-2023,display_ads,70.51,77221.0,1499.0,31,
02/20/2023,affiliate,91.55,11076.0,289.0,47,usd
02/21/2023,email,58.91,,,38,$
21-02-2023,paid_search,229.59,45790.0,3563.0,6,
21-02-2023,social_media,132.96,26639.0,1359.0,129,usd
02-21-2023,display_ads,104.34,14401.0,2813.0,145,$
02/21/2023,affiliate,,30499.0,4587.0,139,usd
2023-02-22,email,42.28,,,52,usd
2023/02/22,paid_search,144.83,41196.0,3321.0,87,
22-02-2023,social_media,126.53,46068.0,4344.0,128,
02/22/2023,display_ads,111.97,52758.0,895.0,155,usd
2023/02/22,affiliate,60.08,61433.0,4146.0,157,USD
02/23/2023,email,51.7,,,21,USD
02-23-2023,paid_search,246.14,77717.0,2733.0,139,$
2023-02-23,social_media,122.34,58734.0,3867.0,65,USD
02-23-2023,display_ads,106.31,63631.0,3308.0,30,usd
02-23-2023,AFFILIATE,74.01,38721.0,2913.0,41,
02-24-2023,email,49.19,,,86,usd
24-02-2023,paid_search,143.63,41965.0,521.0,13,$
24-02-2023,social_media,106.28,34030.0,4071.0,144,usd
24-02-2023,display_ads,90.49,59341.0,1039.0,69,
24-02-2023,affiliate,96.98,83410.0,4458.0,91,
2023-02-25,email,,,,66,USD
2023-02-25,paid_search,177.52,42559.0,334.0,135,
2023-02-25,social_media,130.63,32826.0,507.0,98,USD
25-02-2023,display_ads,86.46,21016.0,1627.0,68,USD
02/25/2023,affiliate,85.05,94237.0,2907.0,56,usd
2023/02/26,email,41.34,,,145,
2023/02/26,paid_search,207.83,85514.0,4601.0,96,usd
2023-02-26,social_media,117.82,41098.0,675.0,80,
02/26/2023,display_ads,95.12,19031.0,2453.0,182,usd
02-26-2023,affiliate,61.35,43988.0,1511.0,100,
2023/02/27,EMAIL,43.24,,,182,$
27-02-2023,paid_search,161.42,72847.0,4396.0,74,$
02/27/2023,social_media,126.89,68074.0,3502.0,144,$
27-02-2023,display_ads,118.19,16922.0,667.0,190,usd
2023-02-27,affiliate,68.99,97119.0,4011.0,123,$
2023/02/28,email,63.42,,,116,
28-02-2023,paid_search,177.94,48273.0,601.0,64,$
02/28/2023,SOCIAL_MEDIA,147.87,52280.0,3901.0,34,
02-28-2023,display_ads,112.06,42159.0,1199.0,50,$
2023/02/28,affiliate,89.25,86615.0,1223.0,107,
03/01/2023,email,52.51,,,131,
01-03-2023,paid_search,143.94,96552.0,4285.0,78,USD
2023-03-01,social_media,148.24,20643.0,3440.0,90,usd
01-03-2023,display_ads,75.77,83702.0,4753.0,120,USD
03/01/2023,affiliate,68.23,17044.0,603.0,52,
03/02/2023,email,47.38,,,185,$
03-02-2023,paid_search,250.15,93590.0,1951.0,189,usd
2023-03-02,social_media,172.02,41392.0,2253.0,5,
02-03-2023,display_ads,82.52,96304.0,3165.0,169,usd
2023/03/02,affiliate,62.11,27123.0,338.0,57,$
2023-03-03,email,60.64,,,186,$
2023-03-03,paid_search,213.96,28242.0,4190.0,149,
03-03-2023,social_media,114.08,84893.0,4173.0,84,USD
03/03/2023,display_ads,124.55,53434.0,4498.0,169,$
03/03/2023,affiliate,90.62,71566.0,833.0,81,
03-04-2023,email,46.94,,,174,usd
03/04/2023,paid_search,142.68,95108.0,3762.0,164,
03/04/2023,social_media,165.25,68777.0,3543.0,63,$
04-03-2023,display_ads,108.88,70573.0,1913.0,133,USD
04-03-2023,affiliate,76.09,91935.0,4796.0,72,USD
03-05-2023,email,42.51,,,149,
03/05/2023,paid_search,247.63,53546.0,3854.0,33,
2023-03-05,social_media,166.68,98578.0,2187.0,195,$
2023/03/05,display_ads,119.65,83986.0,4734.0,146,
2023/03/05,affiliate,87.76,14103.0,330.0,106,USD
2023/03/06,email,50.26,,,130,
03/06/2023,paid_search,237.83,29607.0,387.0,153,USD
03/06/2023,social_media,126.26,16004.0,394.0,85,$
2023-03-06,display_ads,109.07,11170.0,1963.0,198,USD
03-06-2023,affiliate,93.49,96203.0,2208.0,121,usd
2023/03/07,email,59.86,,,63,usd
2023/03/07,paid_search,147.5,69673.0,1149.0,144,$
03-07-2023,social_media,121.31,31505.0,3620.0,170,$
03-07-2023,display_ads,106.33,25055.0,1454.0,107,$
03/07/2023,affiliate,54.93,15375.0,4697.0,134,usd
08-03-2023,email,61.6,,,75,USD
2023-03-08,paid_search,228.69,98103.0,2373.0,200,usd
08-03-2023,social_media,182.83,77826.0,1635.0,51,USD
03/08/2023,display_ads,73.76,62340.0,870.0,70,
03/08/2023,affiliate,62.48,89414.0,706.0,18,USD
2023/03/09,email,60.15,,,96,usd
03/09/2023,paid_search,228.44,53249.0,191.0,43,usd
2023-03-09,social_media,189.27,66386.0,2008.0,117,
2023/03/09,display_ads,,95224.0,929.0,89,USD
2023-03-09,affiliate,67.7,88801.0,1448.0,57,usd
03/10/2023,email,39.0,,,79,
2023-03-10,paid_search,225.32,82810.0,4329.0,171,
10-03-2023,social_media,159.78,47357.0,2102.0,170,$
2023-03-10,display_ads,113.06,38243.0,4697.0,169,usd
03-10-2023,affiliate,60.74,79213.0,3179.0,160,
03/11/2023,email,53.56,,,151,usd
2023/03/11,paid_search,189.21,48092.0,1774.0,55,USD
03-11-2023,social_media,154.03,14178.0,4716.0,87,USD
03-11-2023,display_ads,105.34,92304.0,140.0,60,USD
11-03-2023,affiliate,,81446.0,2516.0,161,USD
12-03-2023,email,47.03,,,87,
03/12/2023,paid_search,241.43,54850.0,2594.0,156,$
12-03-2023,social_media,114.96,51943.0,3789.0,152,$
2023/03/12,display_ads,99.25,52814.0,4811.0,79,
12-03-2023,affiliate,56.02,30366.0,282.0,59,$
13-03-2023,email,42.6,,,183,USD
03/13/2023,paid_search,252.07,55680.0,2372.0,160,
03/13/2023,social_media,124.1,49162.0,4949.0,127,USD
2023/03/13,display_ads,109.6,27766.0,2472.0,188,$
03-13-2023,affiliate,91.13,76948.0,4812.0,111,$
14-03-2023,email,60.5,,,160,usd
03/14/2023,paid_search,,62265.0,3867.0,104,USD
14-03-2023,social_media,144.41,37527.0,2719.0,48,
03-14-2023,display_ads,86.88,44688.0,2823.0,68,
03/14/2023,affiliate,88.49,80758.0,3593.0,69,$
03/15/2023,email,51.01,,,168,USD
2023/03/15,paid_search,244.38,57154.0,2288.0,200,USD
15-03-2023,social_media,115.47,40925.0,3982.0,90,usd
03/15/2023,display_ads,97.69,32954.0,789.0,26,USD
2023-03-15,affiliate,91.66,68708.0,208.0,40,
2023/03/16,email,39.3,,,90,usd
03/16/2023,paid_search,189.01,80143.0,3873.0,153,usd
2023/03/16,social_media,181.2,23978.0,2042.0,193,USD
2023/03/16,display_ads,102.5,48838.0,3183.0,74,USD
03-16-2023,affiliate,67.98,36554.0,1354.0,29,USD
03-17-2023,EMAIL,52.27,,,45,USD
03-17-2023,paid_search,259.07,25922.0,2356.0,80,
17-03-2023,social_media,157.35,78581.0,1757.0,158,
2023/03/17,display_ads,75.98,63645.0,1808.0,199,$
17-03-2023,affiliate,72.09,10984.0,2531.0,169,usd
2023/03/18,email,48.87,,,169,
03/18/2023,PAID_SEARCH,186.15,94196.0,3822.0,42,usd
2023/03/18,social_media,129.61,60355.0,3722.0,105,usd
2023/03/18,display_ads,89.0,58584.0,2432.0,130,$
2023-03-18,affiliate,54.34,36036.0,4868.0,17,
19-03-2023,email,,,,188,USD
2023/03/19,paid_search,220.01,48418.0,1772.0,37,USD
03/19/2023,social_media,114.71,59988.0,790.0,40,USD
2023/03/19,display_ads,88.06,52294.0,3545.0,182,usd
2023/03/19,affiliate,87.62,50394.0,1056.0,31,usd
03/20/2023,email,58.75,,,58,
03/20/2023,paid_search,160.96,21440.0,989.0,123,$
20-03-2023,social_media,123.84,58219.0,3240.0,26,
20-03-2023,display_ads,74.57,62502.0,1466.0,135,usd
2023/03/20,affiliate,58.12,61314.0,1140.0,88,
2023/03/21,email,52.47,,,142,$
03/21/2023,paid_search,240.6,52142.0,1886.0,165,usd
21-03-2023,social_media,126.75,49844.0,4527.0,103,$
2023-03-21,DISPLAY_ADS,,75736.0,163.0,111,
03-21-2023,affiliate,66.62,72419.0,657.0,92,$
03-22-2023,email,46.4,,,46,USD
03-22-2023,paid_search,217.28,94805.0,624.0,136,
2023/03/22,social_media,132.12,73863.0,2890.0,140,USD
2023-03-22,DISPLAY_ADS,94.24,81745.0,1572.0,84,$
2023-03-22,affiliate,56.77,42648.0,1514.0,177,USD
03/23/2023,email,63.29,,,102,USD
03/23/2023,paid_search,238.49,10029.0,3869.0,62,usd
2023-03-23,social_media,187.48,51851.0,2782.0,99,
03-23-2023,display_ads,125.85,75246.0,1100.0,26,USD
03/23/2023,affiliate,94.94,48820.0,2877.0,154,
03/24/2023,email,56.62,,,82,$
24-03-2023,paid_search,235.5,74193.0,4453.0,123,$
2023-03-24,social_media,188.07,63674.0,1002.0,128,
24-03-2023,display_ads,101.27,33632.0,297.0,121,$
03/24/2023,affiliate,63.71,89105.0,1438.0,68,$
2023/03/25,email,37.16,,,172,
03-25-2023,paid_search,193.49,26613.0,259.0,99,
25-03-2023,social_media,169.81,84781.0,475.0,61,USD
03-25-2023,display_ads,87.08,25120.0,1337.0,178,usd
2023-03-25,affiliate,72.63,92727.0,2675.0,94,$
26-03-2023,email,63.24,,,163,usd
2023-03-26,paid_search,253.73,42827.0,4847.0,156,usd
03-26-2023,social_media,189.48,68593.0,3055.0,15,
03-26-2023,display_ads,108.68,31937.0,3130.0,174,
03-26-2023,affiliate,56.6,88705.0,1561.0,184,$
2023/03/27,email,36.7,,,195,
03-27-2023,paid_search,238.41,38518.0,4478.0,178,
27-03-2023,social_media,179.83,19890.0,3587.0,48,usd
2023/03/27,display_ads,71.92,82100.0,1565.0,110,
03/27/2023,affiliate,53.33,25159.0,2567.0,188,$
2023-03-28,email,63.34,,,97,USD
2023-03-28,paid_search,187.7,17887.0,3100.0,167,usd
03/28/2023,social_media,133.39,31050.0,3087.0,108,USD
03-28-2023,display_ads,128.38,34352.0,3716.0,130,$
03/28/2023,affiliate,87.87,31492.0,567.0,86,USD
03/29/2023,email,50.55,,,191,usd
03/29/2023,paid_search,161.19,40416.0,4649.0,14,USD
29-03-2023,social_media,122.17,30154.0,4635.0,99,usd
03/29/2023,display_ads,71.45,41317.0,4212.0,154,USD
03-29-2023,affiliate,,59613.0,2857.0,20,
2023/03/30,email,55.96,,,192,
2023-03-30,paid_search,221.69,83648.0,288.0,149,$
2023-03-30,social_media,132.33,74923.0,3072.0,126,USD
03/30/2023,display_ads,114.78,34988.0,3862.0,46,usd
03/30/2023,affiliate,72.14,47892.0,2565.0,53,USD
03-31-2023,email,53.96,,,182,$
03-31-2023,paid_search,203.18,13208.0,2712.0,9,USD
2023-03-31,social_media,127.2,75875.0,4095.0,183,usd
03/31/2023,display_ads,112.63,55093.0,1722.0,157,usd
03-31-2023,affiliate,57.03,12356.0,4141.0,109,usd
04/01/2023,email,43.92,,,15,USD
2023-04-01,PAID_SEARCH,187.12,12898.0,3220.0,35,
01-04-2023,social_media,148.99,36283.0,1344.0,73,USD
2023/04/01,display_ads,123.39,42780.0,2571.0,38,USD
01-04-2023,affiliate,81.9,53722.0,805.0,94,usd
02-04-2023,email,49.97,,,106,$
2023/04/02,paid_search,141.44,25149.0,2350.0,189,
2023/04/02,social_media,123.54,42984.0,738.0,162,usd
04/02/2023,display_ads,70.52,82877.0,3763.0,91,usd
2023/04/02,affiliate,73.89,88475.0,4499.0,97,
2023/04/03,email,45.64,,,59,
03-04-2023,paid_search,183.76,75619.0,871.0,125,USD
04-03-2023,social_media,175.81,88502.0,644.0,135,usd
2023-04-03,display_ads,101.14,99831.0,4431.0,195,usd
2023/04/03,affiliate,97.27,39474.0,1729.0,29,$
04-04-2023,EMAIL,57.55,,,24,
04-04-2023,paid_search,220.82,52631.0,1065.0,28,USD
2023-04-04,social_media,166.93,87228.0,2734.0,162,USD
2023/04/04,display_ads,107.18,68586.0,3415.0,172,$
2023-04-04,affiliate,96.82,77984.0,731.0,7,usd
05-04-2023,email,50.75,,,161,USD
05-04-2023,paid_search,201.13,19384.0,497.0,90,usd
05-04-2023,SOCIAL_MEDIA,134.1,68797.0,2262.0,75,
2023/04/05,display_ads,112.39,18234.0,1994.0,22,USD
2023/04/05,affiliate,94.09,18968.0,3070.0,58,$
04/06/2023,email,42.85,,,21,$
06-04-2023,paid_search,145.73,96933.0,2981.0,91,$
2023/04/06,social_media,185.07,42019.0,3490.0,119,USD
04/06/2023,display_ads,83.66,52851.0,2180.0,74,$
2023-04-06,affiliate,54.48,90212.0,2193.0,23,
2023/04/07,email,58.78,,,73,USD
2023-04-07,paid_search,208.57,85905.0,4614.0,97,
2023/04/07,social_media,165.98,77294.0,2774.0,21,
07-04-2023,display_ads,73.99,24078.0,2943.0,76,$
04-07-2023,affiliate,86.99,51364.0,2361.0,110,
2023-04-08,email,44.53,,,182,
2023-04-08,paid_search,210.91,60779.0,1721.0,56,
08-04-2023,social_media,143.23,55899.0,3560.0,127,$
04-08-2023,display_ads,,52979.0,3032.0,17,
04-08-2023,affiliate,68.35,17147.0,1856.0,106,USD
04/09/2023,email,40.98,,,75,USD
2023-04-09,paid_search,254.38,25806.0,3313.0,66,$
2023/04/09,social_media,167.46,91177.0,2604.0,70,USD
2023-04-09,display_ads,110.81,85711.0,1333.0,37,usd
09-04-2023,affiliate,75.35,47855.0,4107.0,89,usd
04-10-2023,email,37.16,,,188,$
2023/04/10,paid_search,170.0,58595.0,2587.0,197,$
04/10/2023,social_media,172.27,93071.0,3232.0,166,$
10-04-2023,display_ads,116.63,28216.0,3481.0,183,usd
04-10-2023,affiliate,56.49,20749.0,2895.0,52,usd
