transaction_id,customer_id,transaction_date,revenue,quantity,product_category,discount_applied,payment_method,order_status,source_channel,campaign_id
10150,1211,2023-01-31,278.36,5.0,Clothing,,Credit Card,Refunded,,1039.0
10151,1262,07-12-2024,51.64,7.0,Electronics,0.15,Debit,completed,email,
10152,3463,06/18/2023,352.04,9.0,CLOTHING,0.27,credit card,Completed,social,
10153,69,07-07-2024,N/A,1.0,electronics,,PayPal,Refunded,,
10154,3490,12/22/2023,338.63,10.0,electronics,0.04,Credit Card,Pending,email,
10155,150,2023-10-24,151.25,1.0,Home & Garden,,Credit Card,Pending,paid_search,
10156,2482,2024/02/08,141.77,9.0,Home & Garden,,Credit Card,completed,EMAIL,
10157,4235,07/25/2024,394.08,6.0,Home & Garden,,,Pending,,
10158,4350,04/25/2023,441.2,6.0,Electronics,0.23,PayPal,Refunded,direct,
10159,4570,05/05/2023,473.65,6.0,Electronics,0.07,Debit,COMPLETED,paid_search,
10160,1817,2023/01/03,255.63,8.0,,,Debit,Cancelled,,1003.0
10161,1011,06-17-2024,105.73,8.0,CLOTHING,,PAYPAL,Completed,direct,
10162,1746,01-06-2023,404.93,5.0,CLOTHING,,Debit,Completed,direct,
10163,31,10-09-2023,199.92,8.0,electronics,0.19,Credit Card,COMPLETED,,1008.0
10164,4919,03-12-2024,422.04,3.0,Clothing,0.22,Credit Card,Refunded,Email,1018.0
10165,2508,08-01-2023,353.77,4.0,electronics,0.3,Credit Card,Cancelled,direct,1039.0
10166,2588,28-05-2024,366.9,8.0,Electronics,0.08,,completed,Email,1043.0
10167,2919,2023-07-23,193.15,5.0,Home & Garden,,credit card,Pending,,1004.0
10168,3318,05-26-2023,-50,8.0,Electronics,0.2,Debit,COMPLETED,direct,1012.0
10169,2224,03-07-2024,386.62,6.0,CLOTHING,,Credit Card,Pending,,
10170,3831,31-05-2024,418.92,8.0,,0.06,Credit Card,Cancelled,paid_search,1032.0
10171,4036,13-04-2024,158.83,2.0,,0.01,credit card,Cancelled,direct,
10172,3177,10-31-2024,202.11,9.0,,0.26,PayPal,Refunded,Email,
10173,810,2024-09-18,119.43,5.0,Electronics,0.19,credit card,Refunded,Email,
10174,781,2024/03/11,356.85,4.0,Home & Garden,0.26,,Cancelled,paid_search,
10175,4953,2023-10-07,264.18,10.0,,0.0,Debit,Refunded,social,
10176,3692,05-13-2024,N/A,2.0,Home & Garden,,Credit Card,Cancelled,,
10177,3008,2024/02/03,348.55,9.0,electronics,0.12,credit card,Cancelled,direct,
10178,4572,11-10-2023,137.99,,,0.06,Credit Card,Cancelled,organic,
10179,3130,05/10/2024,262.75,2.0,Electronics,0.13,Credit Card,completed,organic,1044.0
10180,644,2023/03/20,434.2,8.0,Electronics,0.06,PayPal,completed,,
10181,2748,2024/02/08,183.35,3.0,Clothing,,credit card,COMPLETED,social,1007.0
10182,2697,01/23/2024,378.76,2.0,Electronics,0.27,PayPal,Cancelled,email,
10183,1509,07/23/2024,221.9,9.0,Home & Garden,0.01,Credit Card,COMPLETED,email,1007.0
10184,2665,2023-07-12,458.53,5.0,CLOTHING,0.22,PayPal,COMPLETED,paid_search,
10185,1556,2024-05-17,235.07,4.0,CLOTHING,0.05,Credit Card,Completed,direct,1046.0
10186,4293,28-03-2024,106.4,1.0,,0.2,credit card,Cancelled,organic,
10187,4382,13-10-2023,452.4,9.0,,,PAYPAL,completed,Email,
10188,1244,06/23/2023,412.37,3.0,,0.04,,completed,paid_search,1013.0
10189,4415,08-20-2024,255.29,8.0,electronics,0.21,Debit,COMPLETED,organic,1014.0
10190,631,19-06-2024,459.98,4.0,CLOTHING,0.19,,Pending,,
10191,472,2024-03-25,247.8,4.0,CLOTHING,0.06,credit card,Cancelled,,1034.0
10192,1951,2023/10/12,343.88,5.0,Electronics,0.2,credit card,Refunded,organic,
10193,3084,2024-12-03,203.59,4.0,Clothing,0.14,credit card,Completed,EMAIL,
10194,3834,2024/12/04,212.22,5.0,,0.15,credit card,completed,email,
10195,4164,19-10-2023,301.98,10.0,CLOTHING,0.1,Debit,COMPLETED,EMAIL,
10196,525,08/09/2024,344.87,1.0,CLOTHING,0.15,PAYPAL,Completed,organic,1042.0
10197,1393,01-06-2024,488.84,3.0,CLOTHING,0.02,credit card,COMPLETED,organic,
10198,2081,2024/08/10,401.21,3.0,electronics,0.13,credit card,Completed,,
10199,1086,2024-04-05,188.86,10.0,Home & Garden,0.08,PayPal,COMPLETED,EMAIL,1015.0
10200,612,31-12-2024,102.95,10.0,electronics,0.24,PayPal,Refunded,,1019.0
10201,129,04/09/2024,40.68,10.0,Clothing,,PAYPAL,Cancelled,email,
10202,2298,2023/03/12,422.17,10.0,Home & Garden,,,Cancelled,,
10203,2739,2023-07-20,325.03,5.0,Electronics,0.28,Debit,Cancelled,,1017.0
10204,1193,01-13-2023,269.0,6.0,Clothing,0.15,Debit,completed,organic,1020.0
10205,2858,03-04-2024,140.34,6.0,Electronics,0.15,Debit,completed,direct,1001.0
10206,4304,09-24-2024,164.87,10.0,Clothing,,credit card,Completed,direct,1019.0
10207,862,2023-10-16,153.81,8.0,Home & Garden,0.29,PayPal,Completed,paid_search,1017.0
10208,2807,13-08-2024,226.26,9.0,Clothing,0.19,credit card,Completed,paid_search,
10209,315,2024-01-30,198.94,3.0,Electronics,,credit card,Pending,EMAIL,
10210,4082,2024/01/12,111.86,3.0,,,PayPal,Completed,social,1003.0
10211,338,2024/10/24,80.28,7.0,electronics,0.17,Credit Card,COMPLETED,email,
10212,1267,17-03-2023,63.95,2.0,Clothing,0.2,Credit Card,completed,direct,1036.0
10213,960,04-08-2024,113.1,5.0,Electronics,0.25,PayPal,Refunded,direct,1044.0
10214,14,2024-08-20,374.06,10.0,electronics,0.27,Debit,completed,email,1039.0
10215,3729,02-15-2024,268.55,4.0,Electronics,0.09,credit card,Cancelled,email,
10216,2582,2023-12-18,446.18,6.0,electronics,0.17,PayPal,completed,EMAIL,
10217,351,03/24/2024,114.98,5.0,electronics,,PAYPAL,Cancelled,,
10218,2192,2023/07/07,116.81,10.0,Electronics,0.25,PAYPAL,Refunded,EMAIL,1041.0
10219,2118,02-25-2023,81.56,8.0,electronics,,credit card,Pending,,1034.0
10220,71,06-08-2023,387.66,2.0,Electronics,0.24,Debit,completed,paid_search,1037.0
10221,916,2024/03/17,364.2,2.0,Home & Garden,0.17,Debit,Refunded,,
10222,2720,16-12-2023,137.88,3.0,Electronics,0.12,,Completed,direct,1000.0
10223,1975,2023-12-30,418.53,1.0,Clothing,0.2,credit card,Refunded,paid_search,1024.0
10224,2363,2024/12/17,480.65,4.0,CLOTHING,,Debit,Cancelled,social,
10225,302,11/17/2024,N/A,2.0,CLOTHING,0.03,credit card,Pending,Email,
10226,3804,2023-10-09,305.51,8.0,Clothing,0.17,credit card,Cancelled,Email,
10227,1971,12-30-2023,43.05,6.0,electronics,,,Completed,email,
10228,4557,2023-03-07,73.78,1.0,Clothing,,Debit,Cancelled,organic,
10229,4293,2024-02-02,412.77,9.0,Clothing,0.1,Credit Card,Completed,direct,
10230,3926,09/13/2024,431.55,8.0,Clothing,0.24,credit card,Pending,organic,
10231,4077,2023-05-10,241.0,2.0,CLOTHING,,Debit,Completed,Email,
10232,158,04-02-2024,245.82,10.0,,,Debit,COMPLETED,Email,
10233,2531,2023/06/06,99.6,2.0,,0.07,PAYPAL,COMPLETED,EMAIL,
10234,3721,28-07-2024,393.2,8.0,electronics,,,Completed,organic,
10235,3273,2023/08/13,317.66,6.0,Home & Garden,0.19,Debit,Completed,,
10236,1925,2024-09-25,392.05,8.0,Home & Garden,0.17,PayPal,Pending,organic,1007.0
10237,2116,2024-09-16,353.67,8.0,Home & Garden,0.13,PAYPAL,Cancelled,paid_search,
10238,296,2024-07-07,222.29,1.0,Electronics,0.1,PAYPAL,completed,email,
10239,2240,04/10/2023,220.41,6.0,Clothing,0.18,credit card,Refunded,Email,
10240,3777,09-13-2023,161.57,9.0,Home & Garden,0.16,Credit Card,Pending,organic,
10241,1029,05-23-2023,380.33,3.0,,,Credit Card,Completed,social,
10242,2669,11-06-2023,305.11,6.0,electronics,0.07,credit card,COMPLETED,direct,1023.0
10243,1251,09-06-2023,118.95,10.0,Clothing,0.27,credit card,Refunded,social,
10244,2363,2024/09/24,95.91,10.0,Electronics,0.06,Debit,Pending,EMAIL,
10245,2551,2023-08-16,282.29,8.0,Electronics,0.11,PayPal,Refunded,organic,
10246,2806,16-08-2023,338.4,7.0,Electronics,0.21,credit card,completed,Email,
10247,3120,2023/11/20,112.41,7.0,electronics,,Debit,Completed,email,
10248,3363,2023-06-27,449.96,7.0,Home & Garden,0.26,credit card,Refunded,,
10249,384,10/09/2024,251.23,2.0,Home & Garden,0.21,Credit Card,completed,direct,
10250,4394,01/22/2024,25.17,,Electronics,0.19,PAYPAL,completed,paid_search,
10251,2599,2023-06-10,140.0,8.0,Clothing,0.19,PAYPAL,Completed,social,1026.0
10252,281,08-12-2023,436.35,3.0,,,,completed,EMAIL,
10253,1421,05-11-2024,369.05,1.0,Home & Garden,,,Completed,social,1014.0
10254,4532,06-29-2023,77.99,6.0,,0.2,PAYPAL,Completed,organic,1046.0
10255,2854,13-03-2024,452.83,9.0,Clothing,0.28,Debit,COMPLETED,organic,
10256,1812,2024/06/21,90.58,4.0,Electronics,0.19,PayPal,completed,social,1031.0
10257,447,10-11-2023,488.84,2.0,Clothing,0.18,Debit,completed,,
10258,1781,2024-03-19,478.1,9.0,CLOTHING,0.21,,COMPLETED,social,
10259,4668,08-29-2023,43.12,1.0,electronics,0.2,,Completed,email,
10260,4992,03-10-2024,99.91,1.0,electronics,0.28,PayPal,Completed,social,
10261,2600,2023/08/08,201.27,9.0,Home & Garden,0.21,Debit,COMPLETED,Email,
10262,1169,2023-12-11,267.15,4.0,electronics,0.18,Credit Card,Refunded,paid_search,
10263,611,08-19-2023,125.03,5.0,,0.04,Credit Card,COMPLETED,email,1023.0
10264,2685,2024-08-27,382.68,10.0,,0.21,PayPal,Pending,direct,
10265,1186,07-09-2023,242.1,8.0,CLOTHING,0.12,Credit Card,Completed,EMAIL,
10266,3041,02-16-2024,431.18,6.0,Electronics,,Debit,Cancelled,email,1034.0
10267,3112,07/21/2024,217.04,7.0,,,Credit Card,completed,direct,1007.0
10268,4436,11-12-2024,471.97,1.0,Clothing,0.14,credit card,Refunded,direct,1034.0
10269,871,04/10/2023,0,8.0,electronics,,Credit Card,Completed,direct,
10270,4042,12/23/2023,99.62,5.0,Clothing,0.07,PAYPAL,completed,,
10271,3064,04-24-2024,498.62,3.0,electronics,,Debit,Cancelled,email,
10272,2113,13-02-2023,66.15,5.0,CLOTHING,0.16,PayPal,Cancelled,email,
10273,1014,2024/01/29,200.59,1.0,Electronics,0.23,Debit,completed,Email,1009.0
10274,4108,11-08-2023,481.62,6.0,electronics,0.19,Credit Card,Pending,EMAIL,1028.0
10275,3091,2024-03-22,166.48,9.0,CLOTHING,0.11,PayPal,COMPLETED,,
10276,3436,2024-02-24,289.98,8.0,Clothing,0.28,Credit Card,COMPLETED,Email,
10277,3077,01-08-2023,95.03,3.0,Home & Garden,,,COMPLETED,email,1020.0
10278,2418,03/17/2024,205.01,7.0,Electronics,0.14,,Refunded,social,
10279,3175,04/18/2023,118.24,10.0,Home & Garden,0.28,Credit Card,Completed,Email,
10280,4040,24-09-2023,241.7,9.0,Electronics,0.0,,Cancelled,direct,1036.0
10281,2775,05-26-2024,177.85,5.0,Home & Garden,,credit card,Refunded,organic,
10282,3644,2024/02/06,307.4,2.0,electronics,0.27,,COMPLETED,organic,1008.0
10283,2013,2024-03-27,499.15,9.0,electronics,0.13,PAYPAL,Cancelled,social,1038.0
10284,4079,08/11/2023,223.73,9.0,CLOTHING,0.26,PAYPAL,Refunded,direct,
10285,3132,01-28-2024,401.41,7.0,electronics,0.1,PayPal,Pending,direct,1037.0
10286,16,06-04-2023,324.34,3.0,CLOTHING,,Debit,Cancelled,EMAIL,1013.0
10287,2143,01-09-2023,445.56,5.0,Clothing,0.11,PayPal,Pending,social,
10288,176,2024/07/05,220.47,2.0,Electronics,,,completed,Email,1023.0
10289,2583,2023-08-27,377.05,3.0,CLOTHING,,Debit,Refunded,email,1042.0
10290,4055,2024-02-03,497.9,4.0,,0.2,PayPal,Refunded,direct,
10291,789,18-12-2023,478.06,9.0,Clothing,0.04,Credit Card,COMPLETED,social,
10292,984,12/02/2024,132.52,6.0,Electronics,0.17,credit card,Refunded,social,
10293,280,03-14-2024,236.83,5.0,Home & Garden,0.05,PAYPAL,Cancelled,email,1015.0
10294,1327,25-07-2023,174.97,-1.0,electronics,0.08,credit card,Refunded,social,
10295,1318,2023-03-10,228.22,8.0,Clothing,0.14,Credit Card,COMPLETED,email,
10296,3311,02-03-2024,240.58,9.0,CLOTHING,0.04,PayPal,Pending,social,
10297,723,16-10-2023,165.03,7.0,electronics,,Credit Card,Pending,Email,1046.0
10298,1780,2023/01/10,443.48,5.0,Clothing,,PAYPAL,COMPLETED,email,
10299,2656,2024-03-16,,1.0,,0.16,,Pending,direct,
10300,24,12-06-2024,0,9.0,,,Credit Card,Pending,email,
10301,4701,2023-02-14,153.0,2.0,,0.29,credit card,Completed,paid_search,1014.0
10302,2510,11/14/2024,492.41,9.0,electronics,0.25,PAYPAL,completed,direct,
10303,3293,09/10/2023,380.28,9.0,,0.24,Debit,Pending,organic,
10304,1836,12/07/2024,324.7,1.0,CLOTHING,0.01,,Completed,EMAIL,1015.0
10305,4226,12-15-2023,121.04,7.0,electronics,0.21,,Pending,paid_search,
10306,1183,02-22-2023,352.79,1.0,CLOTHING,0.26,PAYPAL,COMPLETED,organic,
10307,1199,06-16-2023,262.75,8.0,electronics,,PayPal,Pending,EMAIL,
10308,3299,04-29-2024,309.18,4.0,Home & Garden,0.16,credit card,Completed,,1027.0
10309,3286,2024/10/21,499.17,6.0,Electronics,0.23,Credit Card,Pending,paid_search,
10310,4507,02-05-2023,87.41,8.0,Electronics,0.14,,Completed,direct,
10311,4149,16-09-2023,429.9,3.0,CLOTHING,0.05,Debit,Refunded,paid_search,
10312,1546,2024/04/05,50.38,3.0,Electronics,0.09,Debit,Pending,direct,1036.0
10313,3054,09-23-2023,462.1,5.0,,,Debit,completed,Email,
10314,2570,2024/06/10,291.64,8.0,,,credit card,completed,paid_search,1008.0
10315,1611,2024-02-21,157.21,4.0,Clothing,0.21,PayPal,Refunded,Email,
10316,3873,12/15/2023,285.99,3.0,CLOTHING,0.22,Debit,Cancelled,email,1044.0
10317,2849,12-18-2023,442.94,6.0,electronics,,PAYPAL,completed,Email,1028.0
10318,1325,2023/06/10,218.23,9.0,,0.24,Debit,Cancelled,paid_search,1029.0
10319,2381,2024-11-04,238.39,7.0,,,PayPal,Pending,social,1034.0
